element,category,frequency_in_category,copies,tissue
917671,642,2,71,Colon
917671,648,1,7,ILN
917671,649,3,41,Jejunum
917671,650,5,29,Jejunum
917671,651,1,2,Jejunum
917672,639,1,65,BM
917673,658,1,2,PBL
917674,643,1,40,Ileum
917674,645,1,2,Ileum
917674,650,1,15,Jejunum
917675,149,1,3,BM
917675,637,1,2,BM
917675,638,5,60,BM
917675,639,3,37,BM
917676,155,1,1,Ileum
917676,640,1,9,Colon
917676,643,4,61,Ileum
917676,644,1,13,Ileum
917676,645,1,7,Ileum
917677,650,1,2,Jejunum
917678,154,3,22,Ileum
917678,640,1,2,Colon
917678,643,2,53,Ileum
917678,645,3,20,Ileum
917679,661,2,24,SPL
917679,662,2,10,SPL
917679,663,2,19,SPL
917680,642,3,51,Colon
917681,663,1,2,SPL
917682,642,2,45,Colon
917683,661,1,2,SPL
917684,643,2,47,Ileum
917684,645,2,21,Ileum
917685,643,4,68,Ileum
917685,644,2,25,Ileum
917685,645,2,22,Ileum
917685,649,1,2,Jejunum
917685,651,2,7,Jejunum
917686,655,1,2,MLN
917687,643,3,40,Ileum
917687,644,2,15,Ileum
917688,637,1,35,BM
917689,160,1,3,Jejunum
917689,651,1,32,Jejunum
917690,638,1,33,BM
917691,648,1,3,ILN
917691,654,1,30,Lung
917692,655,1,30,MLN
917693,643,1,7,Ileum
917693,644,2,26,Ileum
917693,645,2,31,Ileum
917694,641,1,27,Colon
917695,639,2,31,BM
917695,660,1,2,PBL
917696,638,1,26,BM
917697,637,1,26,BM
917698,654,1,26,Lung
917699,643,1,25,Ileum
917699,645,1,15,Ileum
917700,658,1,25,PBL
917701,638,1,24,BM
917702,643,1,24,Ileum
917703,639,1,22,BM
917704,662,1,22,SPL
917705,639,2,22,BM
917705,660,1,1,PBL
917706,643,1,21,Ileum
917707,649,5,24,Jejunum
917707,650,2,16,Jejunum
917707,651,1,9,Jejunum
917708,644,1,19,Ileum
917709,637,1,19,BM
917710,637,1,19,BM
917711,661,1,19,SPL
917712,655,1,19,MLN
917713,638,1,18,BM
917714,149,1,1,BM
917714,638,1,11,BM
917714,639,1,16,BM
917715,642,1,16,Colon
917715,663,2,11,SPL
917716,640,1,16,Colon
917716,642,1,14,Colon
917717,656,1,15,MLN
917718,651,1,15,Jejunum
917719,661,1,15,SPL
917720,655,1,15,MLN
917721,655,1,15,MLN
917722,644,1,14,Ileum
917723,637,1,13,BM
917723,661,1,1,SPL
917724,650,2,16,Jejunum
917725,655,1,5,MLN
917725,662,1,14,SPL
917726,148,1,13,BM
917727,644,2,20,Ileum
917727,649,1,9,Jejunum
917728,646,1,13,ILN
917728,647,1,3,ILN
917728,648,1,5,ILN
917729,656,1,13,MLN
917730,651,1,13,Jejunum
917731,154,2,5,Ileum
917731,643,1,7,Ileum
917732,650,1,12,Jejunum
917733,662,1,12,SPL
917734,645,1,11,Ileum
917734,655,1,8,MLN
917735,656,1,11,MLN
917736,656,1,11,MLN
917737,655,1,11,MLN
917737,656,1,3,MLN
917738,642,1,7,Colon
917738,646,2,3,ILN
917738,647,2,5,ILN
917738,661,1,8,SPL
917739,656,1,10,MLN
917740,160,1,6,Jejunum
917740,651,1,10,Jejunum
917741,663,2,12,SPL
917742,655,1,7,MLN
917742,656,1,3,MLN
917743,172,1,6,SPL
917743,663,1,3,SPL
917744,646,1,9,ILN
917745,656,1,9,MLN
917746,656,1,9,MLN
917747,656,1,9,MLN
917748,651,1,9,Jejunum
917749,661,1,9,SPL
917750,655,1,9,MLN
917751,655,2,11,MLN
917752,655,1,9,MLN
917753,656,1,5,MLN
917754,655,1,9,MLN
917755,157,1,2,ILN
917755,647,2,8,ILN
917755,648,4,16,ILN
917755,662,1,5,SPL
917756,643,1,8,Ileum
917757,637,1,8,BM
917758,650,1,8,Jejunum
917759,656,1,8,MLN
917760,656,1,8,MLN
917761,661,1,8,SPL
917762,661,1,8,SPL
917763,655,1,8,MLN
917764,645,2,10,Ileum
917765,652,2,8,Lung
917765,653,1,3,Lung
917765,654,1,1,Lung
917766,646,1,1,ILN
917766,647,3,16,ILN
917766,648,2,6,ILN
917767,638,1,7,BM
917768,638,5,169,BM
917769,652,4,119,Lung
917770,637,1,7,BM
917771,152,1,5,Colon
917771,640,2,47,Colon
917772,637,1,7,BM
917773,662,1,13,SPL
917774,646,1,7,ILN
917775,646,1,7,ILN
917775,647,2,9,ILN
917775,648,1,2,ILN
917776,646,1,7,ILN
917777,656,1,7,MLN
917778,638,1,3,BM
917779,656,1,7,MLN
917780,163,1,2,Lung
917781,656,1,7,MLN
917782,663,2,9,SPL
917783,646,1,2,ILN
917784,663,3,12,SPL
917785,655,1,7,MLN
917786,655,1,7,MLN
917787,655,1,7,MLN
917788,151,2,10,Colon
917789,172,1,6,SPL
917790,639,1,1,BM
917790,655,1,36,MLN
917790,657,3,99,MLN
917791,638,1,6,BM
917792,657,3,89,MLN
917793,637,1,2,BM
917793,638,1,4,BM
917794,657,4,42,MLN
917795,638,1,6,BM
917796,655,1,33,MLN
917797,648,1,6,ILN
917798,645,1,15,Ileum
917799,643,1,6,Ileum
917799,644,1,2,Ileum
917799,645,1,4,Ileum
917800,646,1,6,ILN
917801,662,1,6,SPL
917802,661,1,6,SPL
917803,655,2,10,MLN
917804,641,1,5,Colon
917805,638,1,5,BM
917806,172,1,6,SPL
917807,648,1,5,ILN
917808,646,1,3,ILN
917808,648,2,7,ILN
917809,637,1,5,BM
917810,646,1,5,ILN
917810,647,2,4,ILN
917810,648,1,2,ILN
917811,646,1,5,ILN
917812,656,1,5,MLN
917813,656,1,5,MLN
917814,656,1,5,MLN
917815,656,1,5,MLN
917816,656,1,5,MLN
917817,656,1,5,MLN
917818,662,1,5,SPL
917819,661,1,3,SPL
917819,663,1,5,SPL
917820,661,1,5,SPL
917821,661,1,5,SPL
917822,655,1,5,MLN
917823,655,1,5,MLN
917824,655,1,5,MLN
917825,655,1,5,MLN
917826,157,1,4,ILN
917827,647,1,4,ILN
917827,648,1,3,ILN
917828,646,1,3,ILN
917828,647,1,4,ILN
917829,648,1,4,ILN
917830,648,1,4,ILN
917831,637,1,4,BM
917832,646,1,4,ILN
917833,646,1,4,ILN
917834,650,1,4,Jejunum
917835,149,1,3,BM
917835,659,2,6,PBL
917836,656,3,9,MLN
917837,656,1,4,MLN
917838,656,1,4,MLN
917839,663,1,4,SPL
917840,663,1,4,SPL
917841,655,1,4,MLN
917842,655,1,4,MLN
917843,655,1,4,MLN
917844,655,1,4,MLN
917845,655,1,4,MLN
917846,655,1,4,MLN
917847,656,1,6,MLN
917848,645,1,2,Ileum
917848,646,1,1,ILN
917849,646,1,4,ILN
917850,647,1,3,ILN
917850,648,1,3,ILN
917851,659,1,3,PBL
917852,647,1,3,ILN
917853,647,1,2,ILN
917854,646,1,2,ILN
917854,647,2,6,ILN
917855,643,2,3,Ileum
917855,644,2,2,Ileum
917855,649,3,5,Jejunum
917855,650,1,4,Jejunum
917855,651,1,3,Jejunum
917856,641,1,2,Colon
917856,643,1,1,Ileum
917856,651,1,1,Jejunum
917857,639,1,3,BM
917858,641,1,2,Colon
917859,639,1,3,BM
917860,655,1,2,MLN
917861,648,1,3,ILN
917862,646,1,3,ILN
917862,647,2,4,ILN
917862,648,2,4,ILN
917863,646,1,3,ILN
917864,646,1,3,ILN
917865,656,1,3,MLN
917866,656,1,3,MLN
917867,656,1,3,MLN
917868,656,1,3,MLN
917869,656,1,3,MLN
917870,656,1,3,MLN
917871,651,1,3,Jejunum
917872,662,1,3,SPL
917873,662,1,3,SPL
917874,663,1,3,SPL
917875,663,1,3,SPL
917876,655,1,3,MLN
917877,655,1,3,MLN
917878,655,1,3,MLN
917879,655,1,3,MLN
917880,148,1,2,BM
917881,172,1,2,SPL
917882,172,1,2,SPL
917883,173,1,2,SPL
917884,174,1,2,SPL
917885,171,1,2,PBL
917886,641,1,2,Colon
917887,647,1,2,ILN
917888,647,1,2,ILN
917889,647,1,2,ILN
917890,646,1,1,ILN
917890,647,1,1,ILN
917890,648,1,1,ILN
917891,639,1,2,BM
917892,646,1,5,ILN
917892,647,1,1,ILN
917893,639,1,2,BM
917894,653,1,6,Lung
917895,645,1,2,Ileum
917895,651,1,2,Jejunum
917896,648,1,2,ILN
917897,641,1,3,Colon
917898,637,1,3,BM
917899,648,1,2,ILN
917900,646,1,1,ILN
917900,647,1,1,ILN
917900,657,1,1,MLN
917901,648,1,2,ILN
917902,657,1,3,MLN
917903,647,1,2,ILN
917904,648,1,2,ILN
917905,646,1,2,ILN
917906,648,1,2,ILN
917907,648,1,2,ILN
917908,646,1,2,ILN
917909,646,1,2,ILN
917910,656,1,2,MLN
917911,656,1,2,MLN
917912,656,1,2,MLN
917913,656,1,2,MLN
917914,657,1,2,MLN
917915,656,1,2,MLN
917916,638,1,36,BM
917917,651,1,2,Jejunum
917918,657,1,35,MLN
917919,149,1,23,BM
917920,649,1,2,Jejunum
917921,655,1,19,MLN
917922,656,1,15,MLN
917923,655,2,17,MLN
917924,656,1,6,MLN
917924,657,1,3,MLN
917925,637,1,30,BM
917925,638,1,15,BM
917926,663,1,2,SPL
917927,656,1,7,MLN
917928,660,2,42,PBL
917929,663,1,2,SPL
917930,638,3,9,BM
917930,639,2,26,BM
917931,661,1,2,SPL
917932,637,1,23,BM
917933,656,1,4,MLN
917934,641,1,20,Colon
917934,650,1,2,Jejunum
917935,637,1,17,BM
917936,149,1,2,BM
917937,640,1,1,Colon
917937,643,1,2,Ileum
917938,637,1,9,BM
917939,657,1,2,MLN
917940,641,1,1,Colon
917940,651,1,1,Jejunum
917941,661,1,2,SPL
917942,640,1,6,Colon
917942,648,1,3,ILN
917943,655,1,9,MLN
917944,655,1,2,MLN
917945,638,1,7,BM
917946,655,1,2,MLN
917947,655,1,12,MLN
917948,639,1,7,BM
917949,655,1,2,MLN
917950,655,1,4,MLN
917951,637,1,7,BM
917952,655,1,2,MLN
917953,657,1,4,MLN
917954,637,1,6,BM
917955,152,1,1,Colon
917955,153,1,1,Colon
917956,637,1,6,BM
917957,655,1,2,MLN
917958,643,1,2,Ileum
917959,655,1,6,MLN
917960,655,1,2,MLN
917961,655,1,2,MLN
917962,655,1,6,MLN
917963,639,1,5,BM
917964,655,1,2,MLN
917965,639,2,7,BM
917966,656,1,5,MLN
917967,655,1,5,MLN
917968,656,1,4,MLN
917969,656,1,4,MLN
917970,656,1,4,MLN
917971,638,1,3,BM
917972,638,1,3,BM
917973,639,1,3,BM
917974,639,1,3,BM
917975,656,2,5,MLN
917976,656,1,3,MLN
917977,649,1,3,Jejunum
917978,655,1,3,MLN
917979,655,1,3,MLN
917980,149,1,2,BM
917981,148,1,2,BM
917982,150,1,2,BM
917983,640,1,2,Colon
917984,658,1,2,PBL
917985,661,1,1,SPL
917985,662,1,1,SPL
917986,154,14,86,Ileum
917986,155,4,32,Ileum
917986,643,2,26,Ileum
917986,644,10,291,Ileum
917986,645,4,120,Ileum
917986,647,1,1,ILN
917986,649,12,256,Jejunum
917986,650,5,153,Jejunum
917986,651,4,35,Jejunum
917987,154,3,66,Ileum
917987,162,1,10,Jejunum
917987,643,7,259,Ileum
917988,658,11,305,PBL
917989,657,4,175,MLN
917990,650,1,25,Jejunum
917991,154,1,9,Ileum
917991,640,1,58,Colon
917991,641,2,46,Colon
917991,645,5,118,Ileum
917992,639,1,23,BM
917993,638,5,119,BM
917994,640,1,17,Colon
917995,643,3,87,Ileum
917995,644,2,11,Ileum
917996,662,1,11,SPL
917997,656,1,5,MLN
917998,656,2,78,MLN
917999,654,1,70,Lung
918000,650,1,4,Jejunum
918001,638,1,2,BM
918002,639,2,60,BM
918003,637,1,54,BM
918004,656,3,55,MLN
918005,644,1,21,Ileum
918005,661,3,23,SPL
918005,662,1,5,SPL
918006,657,2,49,MLN
918007,656,2,48,MLN
918008,655,1,42,MLN
918009,641,2,24,Colon
918009,643,1,27,Ileum
918009,645,1,14,Ileum
918010,657,1,41,MLN
918011,656,1,37,MLN
918012,657,1,37,MLN
918013,640,1,35,Colon
918014,657,2,34,MLN
918015,638,2,36,BM
918016,647,2,28,ILN
918016,648,1,5,ILN
918017,655,1,20,MLN
918018,661,1,18,SPL
918019,154,1,16,Ileum
918020,647,1,15,ILN
918021,169,1,13,PBL
918022,639,1,13,BM
918023,641,1,11,Colon
918024,647,1,9,ILN
918025,149,1,4,BM
918026,648,1,4,ILN
918027,646,1,4,ILN
918028,661,1,4,SPL
918029,651,1,3,Jejunum
918030,661,1,3,SPL
918031,646,1,2,ILN
918032,655,1,2,MLN
918033,655,1,1,MLN
918033,657,1,1,MLN
918034,657,2,74,MLN
918035,655,1,15,MLN
918035,656,2,31,MLN
918036,638,3,48,BM
918037,638,2,47,BM
918038,655,1,13,MLN
918039,655,2,13,MLN
918040,657,2,13,MLN
918041,639,1,3,BM
918041,658,1,5,PBL
918042,657,1,8,MLN
918043,643,2,3,Ileum
918043,645,1,1,Ileum
918043,649,1,3,Jejunum
918044,657,2,8,MLN
918045,647,1,4,ILN
918046,640,1,4,Colon
918047,659,1,4,PBL
918048,647,1,3,ILN
918049,646,1,3,ILN
918049,651,1,2,Jejunum
918050,657,1,3,MLN
918051,657,1,3,MLN
918052,639,1,2,BM
918053,639,1,2,BM
918054,638,1,2,BM
918055,646,1,2,ILN
918056,655,1,2,MLN
918057,172,1,5,SPL
918057,646,2,10,ILN
918057,648,1,2,ILN
918057,662,1,3,SPL
918058,656,1,6,MLN
918059,657,1,46,MLN
918060,639,1,42,BM
918061,639,1,22,BM
