element,category,frequency_in_category,copies,tissue
937387,662,1,9,SPL
937388,663,2,35,SPL
937389,655,1,4,MLN
937390,659,2,67,PBL
937391,655,1,2,MLN
937392,645,1,8,Ileum
937393,640,3,36,Colon
937394,638,1,22,BM
937395,645,1,8,Ileum
937396,656,1,5,MLN
937396,657,2,34,MLN
937397,639,1,4,BM
937398,663,1,8,SPL
937399,657,2,32,MLN
937400,638,1,15,BM
937401,637,1,2,BM
937402,663,1,7,SPL
937403,159,2,26,ILN
937404,657,2,11,MLN
937405,655,2,9,MLN
937406,655,4,23,MLN
937407,655,1,5,MLN
937408,657,1,7,MLN
937409,159,2,21,ILN
937410,647,1,2,ILN
937411,639,1,2,BM
937412,657,1,7,MLN
937413,657,1,14,MLN
937414,655,1,2,MLN
937415,656,2,15,MLN
937416,657,1,7,MLN
937417,655,2,4,MLN
937418,656,4,24,MLN
937419,640,1,6,Colon
937420,655,1,2,MLN
937421,663,1,12,SPL
937422,651,1,6,Jejunum
937423,655,1,2,MLN
937424,655,1,4,MLN
937425,644,1,3,Ileum
937426,157,1,11,ILN
937427,655,1,6,MLN
937428,641,1,5,Colon
937429,152,1,7,Colon
937429,153,1,3,Colon
937430,646,1,5,ILN
937431,649,1,10,Jejunum
937432,148,1,9,BM
937433,646,2,8,ILN
937434,655,1,2,MLN
937435,646,1,7,ILN
937436,648,1,4,ILN
937437,640,1,4,Colon
937438,159,1,6,ILN
937439,646,2,6,ILN
937440,655,1,2,MLN
937441,655,1,11,MLN
937442,646,1,4,ILN
937443,648,1,6,ILN
937444,657,1,4,MLN
937445,663,2,10,SPL
937446,657,1,4,MLN
937447,646,1,5,ILN
937448,647,1,3,ILN
937449,656,1,2,MLN
937450,638,1,3,BM
937451,655,2,4,MLN
937452,157,1,4,ILN
937453,647,1,3,ILN
937454,648,2,6,ILN
937455,648,1,3,ILN
937455,662,1,2,SPL
937456,663,1,3,SPL
937457,648,1,4,ILN
937458,655,2,5,MLN
937459,663,1,4,SPL
937460,657,1,3,MLN
937461,656,1,3,MLN
937462,648,1,2,ILN
937463,648,2,4,ILN
937464,152,4,7,Colon
937464,153,1,1,Colon
937465,640,1,2,Colon
937466,646,1,2,ILN
937467,150,2,4,BM
937468,656,1,2,MLN
937469,150,1,2,BM
937470,651,1,2,Jejunum
937471,150,1,2,BM
937472,655,2,4,MLN
937473,172,1,2,SPL
937474,655,2,4,MLN
937475,637,1,2,BM
937476,638,1,2,BM
937477,149,4,22,BM
937477,637,7,81,BM
937477,659,11,316,PBL
937478,657,1,2,MLN
937479,655,1,2,MLN
937480,174,1,1,SPL
937480,662,1,1,SPL
937481,657,1,2,MLN
937482,158,1,2,ILN
937483,150,3,93,BM
937483,660,15,337,PBL
937484,655,6,59,MLN
937484,657,4,235,MLN
937485,645,1,28,Ileum
937485,655,3,60,MLN
937485,657,1,111,MLN
937486,641,1,2,Colon
937486,646,1,2,ILN
937487,148,14,74,BM
937487,169,1,1,PBL
937487,639,5,105,BM
937488,640,3,150,Colon
937488,658,1,1,PBL
937489,655,1,41,MLN
937489,657,6,111,MLN
937490,152,2,4,Colon
937490,640,3,62,Colon
937490,645,3,55,Ileum
937491,649,1,66,Jejunum
937491,650,1,31,Jejunum
937491,661,1,1,SPL
937492,657,1,2,MLN
937493,655,4,103,MLN
937494,657,2,95,MLN
937495,156,4,102,Ileum
937496,655,1,2,MLN
937497,659,5,153,PBL
937498,656,1,6,MLN
937498,657,2,77,MLN
937499,643,2,75,Ileum
937499,649,1,36,Jejunum
937499,650,2,30,Jejunum
937500,657,4,91,MLN
937501,657,1,66,MLN
937502,655,1,2,MLN
937503,656,2,67,MLN
937504,641,1,22,Colon
937504,646,1,42,ILN
937505,657,2,59,MLN
937506,656,6,72,MLN
937507,656,1,45,MLN
937508,656,1,37,MLN
937509,655,1,2,MLN
937510,655,1,36,MLN
937511,643,2,13,Ileum
937511,645,5,39,Ileum
937511,649,2,6,Jejunum
937511,650,2,8,Jejunum
937512,646,3,39,ILN
937513,151,1,3,Colon
937513,155,1,4,Ileum
937513,161,1,1,Jejunum
937513,162,1,1,Jejunum
937513,640,4,7,Colon
937513,641,1,5,Colon
937513,642,1,3,Colon
937513,643,3,13,Ileum
937513,645,1,4,Ileum
937513,649,4,23,Jejunum
937513,650,1,4,Jejunum
937513,651,2,10,Jejunum
937514,655,1,2,MLN
937515,174,2,4,SPL
937515,662,1,20,SPL
937515,663,2,45,SPL
937516,656,2,26,MLN
937517,642,3,42,Colon
937518,642,1,23,Colon
937519,655,1,2,MLN
937520,639,1,22,BM
937521,150,1,18,BM
937522,643,1,17,Ileum
937522,649,1,11,Jejunum
937523,656,3,32,MLN
937524,655,1,2,MLN
937525,646,2,19,ILN
937526,656,1,16,MLN
937527,661,1,16,SPL
937528,656,2,17,MLN
937529,648,1,14,ILN
937530,655,1,2,MLN
937531,661,1,14,SPL
937532,648,1,12,ILN
937533,646,1,12,ILN
937534,647,1,11,ILN
937535,655,1,2,MLN
937536,638,1,11,BM
937537,649,1,11,Jejunum
937538,661,1,11,SPL
937539,655,1,11,MLN
937540,650,1,10,Jejunum
937541,153,2,11,Colon
937542,647,1,9,ILN
937543,637,2,10,BM
937543,646,1,1,ILN
937544,662,1,3,SPL
937545,149,1,7,BM
937546,655,1,2,MLN
937547,661,1,7,SPL
937548,638,1,2,BM
937549,655,1,7,MLN
937550,663,1,6,SPL
937551,154,2,8,Ileum
937552,158,1,5,ILN
937553,644,1,4,Ileum
937554,648,1,4,ILN
937555,651,1,4,Jejunum
937556,162,1,1,Jejunum
937556,650,1,2,Jejunum
937557,655,1,2,MLN
937558,170,1,2,PBL
937559,637,1,2,BM
937560,638,2,60,BM
937561,655,1,2,MLN
937562,657,1,2,MLN
937563,655,2,14,MLN
937564,649,1,2,Jejunum
937565,646,1,2,ILN
937565,647,1,6,ILN
937565,648,1,9,ILN
937566,646,1,4,ILN
937566,648,1,2,ILN
937567,655,1,1,MLN
937567,657,1,4,MLN
937568,645,1,4,Ileum
937568,649,1,2,Jejunum
937569,657,1,4,MLN
937570,637,1,17,BM
937570,643,1,1,Ileum
937571,652,1,8,Lung
937571,654,1,6,Lung
937572,639,1,1,BM
937572,657,1,2,MLN
937573,663,1,2,SPL
937574,641,1,4,Colon
937575,657,1,3,MLN
937576,648,1,3,ILN
937577,646,1,3,ILN
937578,642,1,2,Colon
937579,638,1,2,BM
937580,640,1,2,Colon
937581,657,1,2,MLN
937582,638,1,3,BM
937583,657,1,2,MLN
937584,657,1,2,MLN
937585,651,1,1,Jejunum
937585,653,1,2,Lung
937585,658,1,2,PBL
937585,660,1,2,PBL
937586,640,3,23,Colon
937586,642,7,178,Colon
937587,640,4,156,Colon
937588,639,3,90,BM
937589,641,4,92,Colon
937590,642,2,87,Colon
937590,644,4,88,Ileum
937591,637,2,76,BM
937592,657,2,73,MLN
937593,657,4,76,MLN
937594,655,1,65,MLN
937595,657,4,72,MLN
937596,638,1,50,BM
937597,649,1,50,Jejunum
937598,655,2,53,MLN
937599,643,3,63,Ileum
937599,644,2,43,Ileum
937600,639,1,43,BM
937601,661,1,38,SPL
937602,640,2,68,Colon
937602,644,1,3,Ileum
937602,648,1,2,ILN
937603,655,1,36,MLN
937604,657,1,35,MLN
937605,152,2,17,Colon
937605,153,2,11,Colon
937605,159,1,1,ILN
937605,640,1,32,Colon
937606,638,4,37,BM
937607,641,1,29,Colon
937608,657,1,29,MLN
937609,663,1,27,SPL
937610,657,1,27,MLN
937611,643,1,12,Ileum
937611,647,1,5,ILN
937611,648,1,2,ILN
937611,661,1,26,SPL
937612,174,1,25,SPL
937613,655,1,22,MLN
937614,161,1,4,Jejunum
937614,651,1,17,Jejunum
937615,646,1,19,ILN
937616,655,1,19,MLN
937617,662,1,17,SPL
937618,158,1,16,ILN
937619,663,1,16,SPL
937620,663,1,15,SPL
937621,663,2,16,SPL
937622,659,1,7,PBL
937623,660,1,7,PBL
937624,655,1,14,MLN
937625,656,1,13,MLN
937626,655,1,13,MLN
937627,657,1,12,MLN
937628,656,1,11,MLN
937629,172,1,10,SPL
937629,654,1,10,Lung
937630,646,1,10,ILN
937631,651,1,10,Jejunum
937632,158,1,1,ILN
937632,159,1,2,ILN
937632,163,1,4,Lung
937632,164,1,5,Lung
937632,647,1,3,ILN
937632,648,1,1,ILN
937633,656,1,9,MLN
937634,646,1,8,ILN
937635,655,1,8,MLN
937636,158,1,7,ILN
937637,647,1,7,ILN
937638,648,2,9,ILN
937639,659,1,7,PBL
937640,655,1,7,MLN
937641,173,1,6,SPL
937642,647,1,6,ILN
937643,158,2,7,ILN
937643,647,1,5,ILN
937643,648,1,2,ILN
937644,647,1,5,ILN
937645,648,1,5,ILN
937646,643,1,3,Ileum
937646,649,1,3,Jejunum
937646,651,2,9,Jejunum
937647,646,1,1,ILN
937647,647,1,3,ILN
937648,647,1,3,ILN
937649,647,1,3,ILN
937650,151,1,2,Colon
937651,157,1,2,ILN
937652,159,1,2,ILN
937653,656,1,2,MLN
937654,641,1,2,Colon
937655,642,1,2,Colon
937656,647,1,2,ILN
937657,646,1,2,ILN
937658,646,1,2,ILN
937659,656,1,2,MLN
937660,663,1,2,SPL
937661,657,1,2,MLN
937662,638,1,6,BM
937663,649,1,63,Jejunum
937664,172,1,3,SPL
937665,663,1,4,SPL
937666,657,1,7,MLN
937667,657,1,4,MLN
937668,655,1,3,MLN
937669,661,1,2,SPL
937670,157,4,285,ILN
937671,157,4,194,ILN
937671,159,2,67,ILN
937671,646,4,106,ILN
937671,647,2,9,ILN
937672,158,3,82,ILN
937672,646,3,61,ILN
937672,647,1,18,ILN
937672,654,1,70,Lung
937672,661,1,2,SPL
937672,662,1,3,SPL
937673,646,1,63,ILN
937673,647,1,18,ILN
937673,648,1,4,ILN
937674,157,1,36,ILN
937674,661,1,2,SPL
937674,662,2,5,SPL
937675,647,2,23,ILN
937675,648,1,11,ILN
937676,646,1,10,ILN
937677,661,1,8,SPL
937678,158,1,1,ILN
937678,640,1,4,Colon
937678,663,1,1,SPL
937679,648,1,2,ILN
937680,644,1,6,Ileum
937681,638,1,13,BM
937682,646,1,1,ILN
937682,647,1,2,ILN
937683,638,1,5,BM
937684,639,1,3,BM
937685,646,1,2,ILN
937685,647,1,1,ILN
937686,641,1,2,Colon
937687,657,2,10,MLN
937688,150,1,2,BM
937689,651,1,6,Jejunum
937690,655,1,4,MLN
937691,655,1,2,MLN
937692,657,1,2,MLN
937693,649,1,2,Jejunum
937693,650,1,4,Jejunum
937694,639,1,6,BM
937695,148,1,1,BM
937695,158,250,1968,ILN
937695,159,11,66,ILN
937695,164,1,1,Lung
937695,172,6,34,SPL
937695,173,6,71,SPL
937695,174,28,212,SPL
937695,638,1,1,BM
937695,646,14,193,ILN
937695,647,10,59,ILN
937695,648,5,22,ILN
937695,661,43,359,SPL
937695,662,22,212,SPL
937695,663,3,12,SPL
937696,156,31,562,Ileum
937696,158,88,624,ILN
937696,162,2,3,Jejunum
937696,173,9,82,SPL
937696,643,5,52,Ileum
937696,649,4,49,Jejunum
937697,150,16,433,BM
937698,152,1,1,Colon
937698,158,105,975,ILN
937698,159,1,10,ILN
937698,646,8,79,ILN
937698,647,1,3,ILN
937698,648,3,19,ILN
937699,158,40,447,ILN
937699,647,1,2,ILN
937700,151,5,236,Colon
937700,641,3,31,Colon
937700,651,5,79,Jejunum
937701,151,2,62,Colon
937701,158,42,429,ILN
937701,647,2,10,ILN
937701,648,1,12,ILN
937702,158,41,367,ILN
937703,148,2,11,BM
937703,150,15,279,BM
937703,637,10,214,BM
937703,638,5,131,BM
937704,158,40,351,ILN
937705,157,2,7,ILN
937705,158,36,346,ILN
937705,646,6,56,ILN
937705,647,2,27,ILN
937705,648,6,41,ILN
937706,158,27,300,ILN
937707,150,11,260,BM
937707,657,1,74,MLN
937708,174,12,251,SPL
937709,150,2,205,BM
937709,661,1,9,SPL
937710,661,3,188,SPL
937711,645,9,211,Ileum
937712,657,3,175,MLN
937713,657,8,182,MLN
937714,155,3,39,Ileum
937714,160,4,30,Jejunum
937714,643,1,10,Ileum
937714,644,3,19,Ileum
937714,645,2,65,Ileum
937715,646,1,9,ILN
937715,647,1,5,ILN
937715,648,1,4,ILN
937715,649,1,11,Jejunum
937715,650,4,56,Jejunum
937715,651,3,89,Jejunum
937715,653,4,128,Lung
937716,640,5,97,Colon
937716,641,5,66,Colon
937717,637,5,157,BM
937718,639,4,151,BM
937719,150,1,1,BM
937719,152,154,1623,Colon
937719,153,129,1158,Colon
937719,165,31,693,Lung
937719,637,1,1,BM
937719,640,44,363,Colon
937719,643,13,89,Ileum
937719,645,6,238,Ileum
937720,657,4,149,MLN
937721,154,1,1,Ileum
937721,156,1,1,Ileum
937721,165,1,1,Lung
937721,167,184,3305,MLN
937721,168,1,1,MLN
937721,173,1,1,SPL
937722,152,6,97,Colon
937722,153,6,60,Colon
937723,644,5,102,Ileum
937723,645,4,75,Ileum
937723,650,1,28,Jejunum
937723,651,2,68,Jejunum
937724,657,8,151,MLN
937725,158,13,171,ILN
937725,172,4,15,SPL
937725,647,2,17,ILN
937726,156,5,153,Ileum
937727,151,1,2,Colon
937727,152,5,95,Colon
937727,153,5,67,Colon
937727,640,2,35,Colon
937727,641,1,6,Colon
937728,655,2,77,MLN
937728,657,3,27,MLN
937729,148,1,16,BM
937729,637,1,22,BM
937730,651,4,127,Jejunum
937731,639,1,24,BM
937732,174,5,129,SPL
937733,638,1,16,BM
937734,651,1,24,Jejunum
937735,158,11,111,ILN
937735,646,1,20,ILN
937735,647,2,14,ILN
937735,648,2,6,ILN
937736,649,1,1,Jejunum
937736,661,1,23,SPL
937737,655,1,14,MLN
937738,661,3,128,SPL
937739,655,1,23,MLN
937740,150,5,128,BM
937741,656,2,10,MLN
937742,649,1,21,Jejunum
937743,642,1,1,Colon
937743,645,3,122,Ileum
937744,648,1,3,ILN
937744,661,1,7,SPL
937745,646,2,18,ILN
937746,156,5,112,Ileum
937747,655,1,15,MLN
937748,155,1,13,Ileum
937748,158,5,66,ILN
937748,642,4,113,Colon
937749,655,1,7,MLN
937750,648,1,14,ILN
937751,657,4,107,MLN
937752,655,2,9,MLN
937753,656,1,14,MLN
937754,637,6,112,BM
937755,158,10,111,ILN
937755,646,1,16,ILN
937755,648,3,17,ILN
937756,663,1,12,SPL
937757,650,1,2,Jejunum
937757,651,1,3,Jejunum
937758,638,4,106,BM
937759,661,1,5,SPL
937760,638,4,107,BM
937760,662,1,1,SPL
937761,167,7,25,MLN
937762,655,6,111,MLN
937763,172,1,3,SPL
937764,655,2,100,MLN
937765,637,1,1,BM
937765,638,1,2,BM
937766,657,7,116,MLN
937767,662,1,2,SPL
937767,663,2,5,SPL
937768,167,2,6,MLN
937769,656,1,2,MLN
937770,655,6,168,MLN
937771,657,3,99,MLN
937772,662,1,2,SPL
937773,656,1,4,MLN
937774,649,2,94,Jejunum
937775,657,4,95,MLN
937776,657,4,97,MLN
937777,657,5,96,MLN
937778,152,1,3,Colon
937779,158,7,81,ILN
937779,646,1,20,ILN
937780,637,1,83,BM
937781,655,2,50,MLN
937781,656,4,28,MLN
937781,657,4,62,MLN
937782,167,1,3,MLN
937783,655,2,84,MLN
937784,174,4,89,SPL
937785,174,5,101,SPL
937786,657,4,90,MLN
937787,638,7,130,BM
937788,158,9,101,ILN
937789,661,4,84,SPL
937790,150,3,82,BM
937791,655,3,83,MLN
937792,161,2,46,Jejunum
937792,657,6,86,MLN
937793,167,1,3,MLN
937794,160,3,78,Jejunum
937795,655,3,79,MLN
937796,161,4,71,Jejunum
937796,162,2,20,Jejunum
937796,651,1,73,Jejunum
937797,649,1,73,Jejunum
937798,655,5,85,MLN
937799,660,2,17,PBL
937800,174,3,78,SPL
937801,640,2,9,Colon
937801,643,1,4,Ileum
937801,644,3,6,Ileum
937801,645,1,9,Ileum
937801,649,1,1,Jejunum
937802,663,3,76,SPL
937803,659,1,77,PBL
937804,655,1,3,MLN
937804,663,1,1,SPL
937805,658,2,12,PBL
937806,657,2,74,MLN
937807,657,1,5,MLN
937808,645,1,2,Ileum
937808,653,1,16,Lung
937809,657,4,76,MLN
937810,657,2,5,MLN
937811,167,2,5,MLN
937812,160,7,81,Jejunum
937812,651,1,8,Jejunum
937813,638,1,2,BM
937814,639,1,10,BM
937815,644,1,10,Ileum
937815,645,4,35,Ileum
937816,656,1,5,MLN
937816,663,1,69,SPL
937817,638,1,2,BM
937818,638,3,37,BM
937819,639,1,2,BM
937820,174,1,68,SPL
937821,663,1,4,SPL
937822,661,1,9,SPL
937823,640,1,2,Colon
937824,650,5,79,Jejunum
937825,637,1,7,BM
937826,655,1,2,MLN
937827,644,1,5,Ileum
937827,651,1,63,Jejunum
937828,661,3,73,SPL
937829,661,1,38,SPL
937829,663,2,30,SPL
937830,152,2,3,Colon
937830,640,1,2,Colon
937830,645,1,2,Ileum
937831,655,2,51,MLN
937831,657,3,91,MLN
937832,646,1,2,ILN
937833,643,2,8,Ileum
937834,639,2,69,BM
937835,640,1,6,Colon
937836,638,3,72,BM
937837,648,1,3,ILN
937837,662,1,2,SPL
937838,655,2,69,MLN
937839,646,1,3,ILN
937840,657,6,79,MLN
937841,656,1,3,MLN
937842,657,6,80,MLN
937843,662,1,3,SPL
937844,655,1,3,MLN
937845,637,3,69,BM
937845,657,6,58,MLN
937846,640,1,65,Colon
937847,663,1,15,SPL
937848,155,1,2,Ileum
937849,152,3,5,Colon
937849,643,1,1,Ileum
937850,637,1,9,BM
937851,655,3,71,MLN
937852,647,1,2,ILN
937853,647,1,2,ILN
937854,657,1,65,MLN
937855,639,1,2,BM
937856,639,1,2,BM
937857,655,2,65,MLN
937858,657,1,62,MLN
937859,656,4,24,MLN
937859,657,6,55,MLN
937860,639,1,59,BM
937861,651,3,67,Jejunum
937862,655,3,62,MLN
937863,655,5,67,MLN
937864,655,3,64,MLN
937865,657,3,62,MLN
937866,160,1,56,Jejunum
937867,640,2,58,Colon
937868,657,5,63,MLN
937869,657,2,58,MLN
937870,655,4,60,MLN
937871,655,1,53,MLN
937872,637,3,57,BM
937873,657,1,2,MLN
937874,657,2,54,MLN
937875,656,6,18,MLN
937875,657,1,34,MLN
937876,655,1,51,MLN
937877,661,3,55,SPL
937878,656,1,6,MLN
937879,656,1,10,MLN
937879,657,3,44,MLN
937880,656,1,4,MLN
937881,161,2,48,Jejunum
937882,650,1,2,Jejunum
937883,167,1,2,MLN
937884,663,1,46,SPL
937885,655,1,46,MLN
937886,655,1,46,MLN
937887,655,4,65,MLN
937888,656,2,22,MLN
937888,657,2,64,MLN
937889,657,3,51,MLN
937890,643,1,38,Ileum
937890,651,1,45,Jejunum
937891,655,2,47,MLN
937892,655,2,46,MLN
937893,661,1,43,SPL
937894,646,1,2,ILN
937894,656,1,6,MLN
937895,661,4,49,SPL
937896,637,1,6,BM
937897,655,2,45,MLN
937898,655,2,45,MLN
937899,149,3,46,BM
937900,160,2,44,Jejunum
937900,651,1,11,Jejunum
937900,657,1,9,MLN
937901,158,7,57,ILN
937901,159,1,3,ILN
937902,641,2,26,Colon
937902,647,1,18,ILN
937903,657,2,42,MLN
937904,649,2,46,Jejunum
937905,657,2,41,MLN
937906,646,1,12,ILN
937906,662,1,26,SPL
937907,645,1,2,Ileum
937908,663,2,40,SPL
937909,655,2,40,MLN
937910,655,1,37,MLN
937911,655,3,45,MLN
937912,158,2,38,ILN
937913,655,3,41,MLN
937914,657,1,34,MLN
937915,639,1,31,BM
937916,157,2,35,ILN
937917,646,1,33,ILN
937918,661,2,35,SPL
937919,655,1,33,MLN
937919,656,1,2,MLN
937920,655,1,33,MLN
937921,650,2,37,Jejunum
937922,637,1,6,BM
937923,656,1,32,MLN
937924,658,1,5,PBL
937925,656,2,33,MLN
937926,657,1,3,MLN
937927,656,2,33,MLN
937928,649,1,4,Jejunum
937929,159,2,7,ILN
937929,662,1,24,SPL
937930,655,3,35,MLN
937931,162,4,38,Jejunum
937931,650,2,16,Jejunum
937932,172,2,32,SPL
937933,662,2,33,SPL
937934,649,1,4,Jejunum
937934,650,2,36,Jejunum
937935,656,2,33,MLN
937936,157,3,31,ILN
937937,159,1,27,ILN
937938,646,1,27,ILN
937939,656,2,29,MLN
937940,159,1,26,ILN
937940,646,2,18,ILN
937940,648,1,14,ILN
937941,646,1,11,ILN
937941,647,3,25,ILN
937941,648,1,5,ILN
937942,647,1,26,ILN
937943,655,2,28,MLN
937944,656,1,25,MLN
937945,644,1,24,Ileum
937946,656,3,35,MLN
937947,663,1,24,SPL
937948,663,1,24,SPL
937949,655,1,5,MLN
937949,656,5,52,MLN
937950,656,2,26,MLN
937951,655,2,25,MLN
937952,646,2,24,ILN
937953,646,1,22,ILN
937954,655,1,22,MLN
937955,159,1,5,ILN
937955,646,1,5,ILN
937955,648,1,16,ILN
937955,654,2,22,Lung
937956,646,1,21,ILN
937956,647,1,11,ILN
937957,646,1,21,ILN
937958,656,2,27,MLN
937959,157,1,11,ILN
937959,648,1,20,ILN
937960,637,2,22,BM
937961,646,2,33,ILN
937962,657,2,22,MLN
937963,646,1,19,ILN
937964,655,1,19,MLN
937965,159,2,20,ILN
937966,646,1,18,ILN
937967,656,1,18,MLN
937968,656,2,20,MLN
937969,656,1,6,MLN
937970,656,1,8,MLN
937970,657,1,10,MLN
937971,649,1,2,Jejunum
937971,650,1,5,Jejunum
937971,651,1,2,Jejunum
937972,662,1,4,SPL
937973,157,3,15,ILN
937973,646,1,6,ILN
937973,648,1,6,ILN
937974,646,1,3,ILN
937975,644,1,17,Ileum
937976,643,1,2,Ileum
937977,656,1,17,MLN
937978,662,2,20,SPL
937979,657,2,19,MLN
937980,638,1,16,BM
937981,648,1,16,ILN
937982,648,1,16,ILN
937983,656,2,28,MLN
937984,655,1,16,MLN
937985,657,1,16,MLN
937986,657,2,18,MLN
937987,149,1,15,BM
937988,159,1,15,ILN
937989,659,6,182,PBL
937990,641,1,2,Colon
937991,645,1,15,Ileum
937992,637,1,52,BM
937993,659,2,36,PBL
937994,646,1,15,ILN
937995,657,1,33,MLN
937996,649,1,15,Jejunum
937997,639,1,29,BM
937998,154,1,14,Ileum
937999,637,2,47,BM
938000,159,1,14,ILN
938000,648,1,12,ILN
938001,657,1,28,MLN
938002,159,1,14,ILN
938003,655,1,25,MLN
938004,657,1,25,MLN
938005,646,1,14,ILN
938006,655,1,23,MLN
938007,646,1,14,ILN
938008,655,1,18,MLN
938009,657,1,16,MLN
938010,656,1,14,MLN
938011,639,1,15,BM
938012,656,2,16,MLN
938013,655,2,16,MLN
938014,657,2,16,MLN
938015,647,2,15,ILN
938016,656,1,10,MLN
938017,647,2,16,ILN
938018,639,1,9,BM
938019,647,1,13,ILN
938020,656,2,12,MLN
938021,657,1,7,MLN
938022,159,2,8,ILN
938022,646,1,13,ILN
938022,648,1,6,ILN
938023,638,1,5,BM
938024,656,1,5,MLN
938025,656,1,13,MLN
938026,655,1,5,MLN
938027,655,1,13,MLN
938028,639,1,4,BM
938029,159,1,12,ILN
938030,655,1,3,MLN
938030,656,1,3,MLN
938031,173,1,12,SPL
938032,639,1,2,BM
938033,646,2,14,ILN
938033,647,1,12,ILN
938034,655,1,2,MLN
938035,647,2,14,ILN
938036,656,2,14,MLN
938037,656,1,12,MLN
938038,656,1,12,MLN
938039,157,1,11,ILN
938040,159,1,11,ILN
938041,159,1,11,ILN
938042,646,1,6,ILN
938042,648,1,11,ILN
938043,637,1,18,BM
938044,660,1,9,PBL
938045,656,2,13,MLN
938046,161,1,6,Jejunum
938046,643,2,7,Ileum
938047,663,1,2,SPL
938048,159,1,10,ILN
938048,646,3,7,ILN
938049,647,1,10,ILN
938050,159,1,2,ILN
938050,647,1,10,ILN
938051,639,1,10,BM
938052,157,1,7,ILN
938052,646,1,10,ILN
938052,648,1,10,ILN
938053,656,1,10,MLN
938054,656,2,16,MLN
938055,656,1,10,MLN
938056,656,2,12,MLN
938057,159,1,9,ILN
938058,173,2,11,SPL
938059,642,1,9,Colon
938060,647,2,11,ILN
938061,159,2,10,ILN
938061,647,1,2,ILN
938061,648,3,13,ILN
938062,648,1,8,ILN
938063,648,1,8,ILN
938064,648,1,8,ILN
938065,662,1,8,SPL
938066,655,2,11,MLN
938067,159,1,7,ILN
938068,647,1,7,ILN
938069,647,1,7,ILN
938070,647,1,7,ILN
938071,648,1,7,ILN
938072,648,1,7,ILN
938073,648,1,7,ILN
938074,646,1,7,ILN
938075,646,1,7,ILN
938076,158,1,3,ILN
938076,646,2,14,ILN
938077,649,1,6,Jejunum
938078,652,1,3,Lung
938079,651,1,3,Jejunum
938080,656,2,10,MLN
938081,638,1,6,BM
938082,648,1,6,ILN
938083,646,2,8,ILN
938084,646,1,3,ILN
938084,650,1,3,Jejunum
938085,645,1,2,Ileum
938085,650,1,4,Jejunum
938086,157,1,5,ILN
938087,172,2,9,SPL
938087,648,1,3,ILN
938088,638,1,5,BM
938089,648,1,5,ILN
938090,648,2,7,ILN
938091,646,1,5,ILN
938092,656,1,5,MLN
938093,161,1,4,Jejunum
938094,157,1,4,ILN
938094,647,1,3,ILN
938095,162,1,4,Jejunum
938096,647,1,4,ILN
938097,647,1,4,ILN
938098,647,1,4,ILN
938099,647,1,4,ILN
938100,647,1,4,ILN
938101,648,1,4,ILN
938102,648,1,4,ILN
938103,656,1,4,MLN
938104,647,1,3,ILN
938105,647,1,3,ILN
938106,647,1,3,ILN
938107,637,1,4,BM
938108,638,1,3,BM
938109,650,1,2,Jejunum
938110,637,1,3,BM
938111,655,1,2,MLN
938112,656,1,3,MLN
938113,663,2,5,SPL
938114,659,3,91,PBL
938115,637,1,51,BM
938116,657,7,16,MLN
938117,637,1,34,BM
938118,661,1,46,SPL
938119,659,9,364,PBL
938120,150,1,2,BM
938120,162,11,626,Jejunum
938121,639,3,87,BM
938122,148,2,35,BM
938122,638,1,31,BM
938122,639,1,5,BM
938123,651,1,9,Jejunum
938124,657,1,44,MLN
938125,657,1,74,MLN
938125,663,1,1,SPL
938126,643,1,30,Ileum
938127,642,1,1,Colon
938127,649,1,1,Jejunum
938128,646,1,3,ILN
938128,653,2,15,Lung
938128,661,1,21,SPL
938129,657,2,75,MLN
938130,655,1,24,MLN
938131,655,1,2,MLN
938132,640,1,52,Colon
938132,641,1,9,Colon
938132,643,3,29,Ileum
938132,644,2,12,Ileum
938132,650,3,71,Jejunum
938133,642,1,19,Colon
938134,661,2,27,SPL
938135,638,2,56,BM
938136,639,1,38,BM
938137,655,1,19,MLN
938138,639,1,19,BM
938139,637,1,32,BM
938140,651,1,9,Jejunum
938141,645,1,2,Ileum
938141,649,1,16,Jejunum
938141,650,1,9,Jejunum
938141,651,2,9,Jejunum
938142,650,1,6,Jejunum
938143,646,2,34,ILN
938143,647,1,10,ILN
938144,646,1,5,ILN
938145,638,2,33,BM
938146,638,1,4,BM
938146,639,1,11,BM
938147,158,1,2,ILN
938148,655,2,32,MLN
938149,638,1,2,BM
938150,650,1,14,Jejunum
938151,643,1,28,Ileum
938151,651,1,2,Jejunum
938152,637,1,2,BM
938153,646,1,25,ILN
938154,661,2,6,SPL
938154,662,2,17,SPL
938155,646,2,29,ILN
938155,648,2,11,ILN
938156,639,2,12,BM
938156,660,1,1,PBL
938157,643,1,21,Ileum
938158,638,1,10,BM
938159,648,1,18,ILN
938160,649,1,10,Jejunum
938161,655,1,18,MLN
938162,637,1,17,BM
938163,638,1,9,BM
938164,161,1,1,Jejunum
938164,648,1,6,ILN
938164,651,2,18,Jejunum
938165,157,1,8,ILN
938165,646,1,2,ILN
938165,647,1,1,ILN
938165,648,2,3,ILN
938166,150,3,6,BM
938167,655,1,17,MLN
938168,639,2,15,BM
938169,663,1,15,SPL
938170,655,1,8,MLN
938171,172,1,2,SPL
938171,173,1,1,SPL
